"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"529","Lori Chavez-DeRemer","Female","Latino","","","No","No","Oregon","5/17/22","Representative","5","30,438","43%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","N/A",TRUE,"529"
"530","Mike Erickson","Male","White","","","No","No","Oregon","5/17/22","Representative","6","21,675","35%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"530"
"531","Mike Crapo","Male","White","","","Yes","No","Idaho","5/17/22","Senator","N/A","177,906","67%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","3/5/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"531"
"532","Russ Fulcher","Male","White","","","Yes","No","Idaho","5/17/22","Representative","1","126,528","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/14/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"532"
"533","Mike Simpson","Male","White","","","Yes","No","Idaho","5/17/22","Representative","2","67,177","55%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"533"
"534","Ted Budd","Male","White","","","No","No","North Carolina","5/17/22","Senator","N/A","448,128","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/5/21","Yes","N/A","N/A","No","N/A","N/A",TRUE,"534"
"535","Sandy Smith","Female","White","","","No","No","North Carolina","5/17/22","Representative","1","13,621","31%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"535"
"536","Christine E. Villaverde","Female","White","","","No","No","North Carolina","5/17/22","Representative","2","19,650","55%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"536"
"537","Greg Murphy","Male","White","","","Yes","No","North Carolina","5/17/22","Representative","3","50,123","76%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/6/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"537"
"538","Courtney Geels","Female","White","","","No","No","North Carolina","5/17/22","Representative","4","19,645","65%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"538"
"539","Virginia Foxx","Female","White","","","Yes","No","North Carolina","5/17/22","Representative","5","61,680","77%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/3/21","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"539"
"540","Christian Castelli","Male","White","","","No","No","North Carolina","5/17/22","Representative","6","15,450","36%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"540"
"541","David Rouzer","Male","White","","","Yes","No","North Carolina","5/17/22","Representative","7","39,203","79%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/14/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"541"
"542","Dan Bishop","Male","White","","","Yes","No","North Carolina","5/17/22","Representative","8","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/14/22","Yes","No","N/A","N/A","N/A","N/A",TRUE,"542"
"543","Richard Hudson","Male","White","","","Yes","No","North Carolina","5/17/22","Representative","9","38,117","79%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/14/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"543"
"544","Patrick McHenry","Male","White","","","Yes","No","North Carolina","5/17/22","Representative","10","49,973","68%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/14/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"544"
"545","Chuck Edwards","Male","White","","","No","Yes","North Carolina","5/17/22","Representative","11","29,496","33%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"545"
"546","Tyler Lee","Male","White","","","No","No","North Carolina","5/17/22","Representative","12","10,388","43%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"546"
"547","Bo Hines","Male","White","","","No","No","North Carolina","5/17/22","Representative","13","17,602","32%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","3/14/22","Yes","N/A","N/A","No","N/A","No",TRUE,"547"
"548","Pat Harrigan","Male","White","","","No","No","North Carolina","5/17/22","Representative","14","27,638","76%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"548"
"549","Mehmet Oz","Male","Middle Eastern (Turkish)","","","No","No","Pennsylvania","5/17/22","Senator","N/A","420,168","31%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/9/22","No","N/A","N/A","N/A","N/A","N/A",TRUE,"549"
"550","Brian Fitzpatrick","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","1","60,502","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"550"
"551","Aaron Bashir","Male","Asian (Pakistani)","","","No","No","Pennsylvania","5/17/22","Representative","2","11,796","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"551"
"552","Christian Nascimento","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","4","47,192","69%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"552"
"553","David Galluch","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","5","55,770","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"553"
"554","Guy Ciarrocchi","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","6","23,369","33%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"554"
"555","Lisa Scheller","Female","White","","","No","No","Pennsylvania","5/17/22","Representative","7","34,504","51%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes",TRUE,"555"
"556","Jim Bognet","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","8","47,097","69%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","5/3/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"556"
"557","Dan Meuser","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","9","102,180","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"557"
"558","Scott Perry","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","10","84,646","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","No","N/A","N/A","N/A","N/A",TRUE,"558"
"559","Lloyd K. Smucker","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","11","96,886","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"559"
"560","Mike Doyle","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","12","39,531","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"560"
"561","John Joyce","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","13","114,160","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","3/18/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"561"
"562","Guy Reschenthaler","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","14","81,243","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"562"
"563","Glenn ""GT"" Thompson","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","15","99,270","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"563"
"564","Mike Kelly","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","16","87,028","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"564"
"565","Jeremy Shaffer","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","17","40,965","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"565"
"566","Bob Good","Male","White","","","Yes","No","Virginia","5/21/22","Representative","5","N/A","N/A","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/26/22","N/A","No","N/A","N/A","N/A","N/A",TRUE,"566"
"567","Karina Lipsman","Female","White","","","No","No","Virginia","5/21/22","Representative","8","N/A","N/A","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"567"
"568","Hung Cao","Male","Asian (Vietnamese)","","","No","No","Virginia","5/21/22","Representative","10","6,363","42%","Made runoff","7,729","52%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A",TRUE,"568"
"569","Katie Britt","Female","White","","","No","No","Alabama","5/24/22","Senator","N/A","289,425","45%","Made runoff","253251","63%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes (runoff only)","6/10/22","No","N/A","N/A","Yes","Yes","Yes",TRUE,"569"
"570","Jerry Carl","Male","White","","","Yes","No","Alabama","5/24/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"570"
"571","Barry Moore","Male","White","","","Yes","No","Alabama","5/24/22","Representative","2","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"571"
"572","Mike Rogers","Male","White","","","Yes","No","Alabama","5/24/22","Representative","3","70,843","82%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"572"
"573","Robert Aderholt","Male","White","","","Yes","No","Alabama","5/24/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"573"
"574","Dale Strong","Male","White","","","No","No","Alabama","5/24/22","Representative","5","45,319","45%","Made runoff","48138","63%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"574"
"575","Gary Palmer","Male","White","","","Yes","No","Alabama","5/24/22","Representative","6","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","1/18/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"575"
"576","Beatrice Nichols","Female","White","","","No","No","Alabama","5/24/22","Representative","7","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"576"
"577","John Boozman","Male","White","","","Yes","No","Arkansas","5/24/22","Senator","N/A","201,677","58%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","3/8/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"577"
"578","Rick Crawford","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","1","64,102","75%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","10/7/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"578"
"579","French Hill","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","2","49,488","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"579"
"580","Steve Womack","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","3","60,814","79%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"580"
"581","Bruce Westerman","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"581"
"582","Herschel Junior Walker","Male","Black","","","No","No","Georgia","5/24/22","Senator","N/A","803,560","68%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","9/2/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"582"
"583","Earl L. ""Buddy"" Carter","Male","White","","","Yes","No","Georgia","5/24/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"583"
"584","Chris West","Male","White","","","No","No","Georgia","5/24/22","Representative","2","18,658","30%","Made runoff","14622","51%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A",TRUE,"584"
"585","Drew Ferguson","Male","White","","","Yes","No","Georgia","5/24/22","Representative","3","96,314","83%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"585"
"586","Jonathan Chavez","Male","White","","","No","No","Georgia","5/24/22","Representative","4","21,924","78%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"586"
"587","Christian Zimm","Male","White","","","No","No","Georgia","5/24/22","Representative","5","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"587"
"588","Rich McCormick","Male","White","","","No","No","Georgia","5/24/22","Representative","6","48,967","43%","Made runoff","27455","67%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","Yes","N/A","N/A","N/A","No","N/A",TRUE,"588"
"589","Mark Gonsalves","Male","White","","","No","No","Georgia","5/24/22","Representative","7","12,477","27%","Made runoff","8591","70%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"589"
"590","Austin Scott","Male","White","","","Yes","No","Georgia","5/24/22","Representative","8","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"590"
"591","Andrew Clyde","Male","White","","","Yes","No","Georgia","5/24/22","Representative","9","90,535","76%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/20/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"591"
"592","Mike Collins","Male","White","","","No","No","Georgia","5/24/22","Representative","10","28,741","26%","Made runoff","30536","74%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"592"
"593","Barry Loudermilk","Male","White","","","Yes","No","Georgia","5/24/22","Representative","11","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"593"
"594","Rick W. Allen","Male","White","","","Yes","No","Georgia","5/24/22","Representative","12","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"594"
"595","Caesar Gonzales","Male","Latino","","","No","No","Georgia","5/24/22","Representative","13","12,659","57%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"595"
"596","Marjorie Taylor Greene","Female","White","","","Yes","No","Georgia","5/24/22","Representative","14","72,215","70%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/6/22","N/A","No","N/A","No","N/A","N/A",TRUE,"596"
"597","Michelle Garcia Holmes","Female","White","","","No","No","New Mexico","6/7/22","Representative","1","25,822","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"597"
"598","Yvette Herrell","Female","White","Native American (Cherokee)","","Yes","No","New Mexico","6/7/22","Representative","2","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"598"
"599","Alexis Martinez Johnson","Female","Latino","","","No","No","New Mexico","6/7/22","Representative","3","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"599"
"600","Trent Kelly","Male","White","","","Yes","No","Mississippi","6/7/22","Representative","1","27,447","90%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/5/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"600"
"601","Brian Flowers","Male","White","","","No","No","Mississippi","6/7/22","Representative","2","6,087","43%","Made runoff","6224","58%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"601"
"602","Michael Guest","Male","White","","","Yes","No","Mississippi","6/7/22","Representative","3","23,675","47%","Made runoff","47007","67%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"602"
"603","Mike Ezell","Male","White","","","No","Yes","Mississippi","6/7/22","Representative","4","13,020","25%","Made runoff","31225","54%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"603"
"604","Ryan K. Zinke","Male","White","","","No","No","Montana","6/7/22","Representative","1","35,601","42%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","7/8/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"604"
"605","Matt Rosendale","Male","White","","","Yes","No","Montana","6/7/22","Representative","2","73,453","76%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/15/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"605"
"606","Chuck Grassley","Male","White","","","Yes","No","Iowa","6/7/22","Senator","N/A","143,634","72%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","10/9/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"606"
"607","Mariannette Miller-Meeks","Female","White","","","Yes","No","Iowa","6/7/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","Yes","Yes",TRUE,"607"
"608","Ashley Hinson","Female","White","","","Yes","No","Iowa","6/7/22","Representative","2","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/5/22","N/A","N/A","N/A","Yes","Yes","Yes",TRUE,"608"
"609","Zach Nunn","Male","White","","","No","No","Iowa","6/7/22","Representative","3","30,502","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"609"
"610","Randy Feenstra","Male","White","","","Yes","No","Iowa","6/7/22","Representative","4","1","0%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/5/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"610"
"611","John R. Thune","Male","White","","","Yes","No","South Dakota","6/7/22","Senator","N/A","85,613","72%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"611"
"612","Dusty Johnson","Male","White","","","Yes","No","South Dakota","6/7/22","Representative","At-Large","70,728","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"612"
"613","Claire Gustafson","Female","White","","","No","No","New Jersey","6/7/22","Representative","1","13,411","69%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"613"
"614","Jeff Van Drew","Male","White","","","Yes","No","New Jersey","6/7/22","Representative","2","35,843","86%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"614"
"615","Bob Healey","Male","White","","","No","No","New Jersey","6/7/22","Representative","3","17,560","53%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"615"
"616","Christopher H. Smith","Male","White","","","Yes","No","New Jersey","6/7/22","Representative","4","33,136","58%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"616"
"617","Frank T. Pallotta","Male","White","","","No","No","New Jersey","6/7/22","Representative","5","16,021","50%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"617"
"618","Susan M. Kiley","Female","White","","","No","No","New Jersey","6/7/22","Representative","6","10,076","57%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"618"
"619","Thomas H. Kean Jr.","Male","White","","","No","No","New Jersey","6/7/22","Representative","7","25,111","46%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"619"
"620","Marcos Arroyo","Male","Latino","","","No","No","New Jersey","6/7/22","Representative","8","3,127","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"620"
"621","Billy Prempeh","Male","Black","","","No","No","New Jersey","6/7/22","Representative","9","10,724","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"621"
"622","David H. Pinckney","Male","Unknown","","","No","No","New Jersey","6/7/22","Representative","10","3,581","82%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"622"
"623","Paul DeGroot","Male","White","","","No","No","New Jersey","6/7/22","Representative","11","12,644","12%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"623"
